,index,shunt,shunt_v,source,source_v,bias,millisecs,current_a,power_w,secs
171,171,445,0.312744,1678,1.21582,18,1740036,0.08935542857142857,0.10864011716571428,1740.036
172,172,423,0.296631,1676,1.214355,18,1750036,0.08475171428571428,0.10291866800142857,1750.036
173,173,415,0.290771,1677,1.215088,18,1760036,0.08307742857142857,0.10094638652799999,1760.036
174,174,416,0.291504,1676,1.214355,18,1770036,0.08328685714285713,0.10113981140571428,1770.036
175,175,431,0.30249,1677,1.215088,18,1780036,0.08642571428571429,0.10501484831999999,1780.036
176,176,445,0.312744,1677,1.215088,18,1790037,0.08935542857142857,0.108574708992,1790.037
177,177,436,0.306152,1676,1.214355,18,1800037,0.087472,0.10622206056,1800.037
178,178,440,0.309082,1679,1.216553,18,1810037,0.08830914285714286,0.10743275267028572,1810.037
179,179,441,0.309814,1675,1.213623,18,1820037,0.0885182857142857,0.10742782746342855,1820.037
180,180,427,0.299561,1677,1.215088,18,1830037,0.08558885714285715,0.103997993248,1830.037
181,181,437,0.306885,1676,1.214355,18,1840038,0.08768142857142858,0.10647638119285716,1840.038
182,182,430,0.301758,1677,1.215088,18,1850038,0.08621657142857143,0.104760721344,1850.038
183,183,441,0.309814,1675,1.213623,18,1860038,0.0885182857142857,0.10742782746342855,1860.038
184,184,458,0.322266,1673,1.212158,18,1870038,0.092076,0.11161066000800002,1870.038
185,185,463,0.325928,1673,1.212158,18,1880038,0.09312228571428571,0.11287892360685715,1880.038
186,186,440,0.309082,1674,1.212891,18,1890039,0.08830914285714286,0.10710936458914286,1890.039
187,187,451,0.317139,1675,1.213623,18,1900039,0.09061114285714286,0.10996776702771428,1900.039
188,188,445,0.312744,1675,1.213623,18,1910039,0.08935542857142857,0.10844380328914285,1910.039
189,189,444,0.312012,1673,1.212158,18,1920039,0.08914628571428572,0.10805938339885715,1920.039
190,190,546,0.386719,1667,1.207764,18,1930039,0.11049114285714286,0.1334472246617143,1930.039
191,191,443,0.311279,1677,1.215088,18,1940039,0.08893685714285714,0.108066107872,1940.039
192,192,458,0.322266,1676,1.214355,18,1950040,0.092076,0.11181295098,1950.04
193,193,433,0.303955,1676,1.214355,18,1960040,0.08684428571428571,0.10545979257857142,1960.04
194,194,443,0.311279,1673,1.212158,18,1970040,0.08893685714285714,0.10780552288057142,1970.04
195,195,454,0.319336,1675,1.213623,18,1980040,0.09123885714285715,0.11072957552228571,1980.04
196,196,452,0.317871,1674,1.212891,18,1990040,0.09082028571428571,0.1101551071602857,1990.04
197,197,465,0.327393,1672,1.211426,18,2000041,0.09354085714285713,0.11331782640514283,2000.041
198,198,468,0.32959,1672,1.211426,18,2010041,0.09416857142857142,0.11407825581142855,2010.041
199,199,451,0.317139,1673,1.212158,18,2020041,0.09061114285714286,0.10983502170342858,2020.041
200,200,446,0.313477,1675,1.213623,18,2030041,0.08956485714285714,0.1086979706202857,2030.041
201,201,441,0.309814,1676,1.214355,18,2040041,0.0885182857142857,0.10749262284857142,2040.041
